Region_id,ZIP,City,Lat,Lng
307,2403,Regelsbrunn,48.10899,16.78103
307,2471,Rohrau,48.06579,16.85933
307,2453,Sommerein,47.9918,16.65854
307,2463,Stixneusiedl,48.04125,16.67359
307,2454,Trautmannsdorf an der Leitha,48.02332,16.6376
307,2462,Wilfleinsdorf,48.01208,16.72214
307,2412,Wolfsthal,48.13766,17.0038
308,2261,Angern an der March,48.37935,16.82895
308,2214,Auersthal,48.37263,16.64091
308,2222,Bad Pirawarth,48.45279,16.59973
308,2232,Deutsch Wagram,48.29903,16.5649
308,2181,Dobermannsdorf,48.59972,16.81855
308,2265,Drösing,48.53998,16.90269
308,2263,Dürnkrut,48.47314,16.85006
308,2251,Ebenthal,48.43757,16.78898
308,2305,Eckartsau,48.14527,16.7974
308,2292,Engelhartstetten,48.18218,16.88146
308,2230,Gänserndorf,48.3408,16.7179
308,2221,Groß Schweinbarth,48.41519,16.63465
308,2301,Groß-Enzersdorf,48.20145,16.55021
308,2286,Haringsee,48.19336,16.78553
308,2184,Hauskirchen,48.61252,16.76145
308,2273,Hohenau an der March,48.60613,16.90492
308,2223,Hohenruppersdorf,48.46388,16.65238
308,2264,Jedenspeigen,48.49833,16.87298
308,2291,Lassee,48.22498,16.82215
308,2285,Leopoldsdorf im Marchfelde,48.22426,16.68972
308,2294,Marchegg Bahnhof,48.25322,16.91773
308,2293,Marchegg Stadt,48.28015,16.90691
308,2282,Markgrafneusiedl,48.26718,16.63181
308,2243,Matzen,48.4028,16.6938
308,2183,Neusiedl an der Zaya,48.60121,16.78634
308,2272,Niederabsdorf,48.56411,16.85384
308,2283,Obersiebenbrunn,48.26505,16.70692
308,2224,Obersulz,48.50216,16.67387
308,2295,Oberweiden,48.30885,16.82626
308,2252,Ollersdorf,48.39636,16.79477
308,2304,Orth an der Donau,48.14704,16.70388
308,2182,Palterndorf,48.59092,16.81618
308,2185,Prinzendorf an der Zaya,48.60086,16.72029
308,2242,Prottes,48.38628,16.73907
308,2281,Raasdorf,48.24635,16.5615
308,2215,Raggendorf,48.39415,16.65861
308,2241,Schönkirchen,48.36442,16.70147
308,2244,Spannberg,48.4642,16.73561
308,2262,Stillfried,48.41005,16.84319
308,2231,Strasshof an der Nordbahn,48.31718,16.64256
